deck,slot_number,card_name,oracle_id,primary_role,secondary_roles,mana_value,color_identity,card_type,source_reference,argentum_definition_found,argentum_definition_path,definition_kind,scenario_test_found,scenario_test_path,coverage_class,mechanic_families,decision_families,game_changer,banned,combo_member,tutor,board_wipe,engine_notes,replacement_candidate
Akiri,1,"Akiri, Fearless Voyager",c03ae426-2536-4c20-a73a-a24e816f76b0,COMMANDER,SYNERGY_ENGINE,3,RW,Legendary Creature — Kor Warrior,Scryfall oracle_id c03ae426-2536-4c20-a73a-a24e816f76b0; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,FALSE,,UNKNOWN,FALSE,,CARD_DEFINITION_MISSING,attack_trigger|commander_zone|draw|equipment_attachment|equipped_creatures|one_or_more_batch|temporary_indestructible|unattach_as_cost,ATTACK|CARD_SELECTION|CONFIRMATION|PAYMENT|REPLACEMENT_CHOICE|TARGET,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. No executable CardDefinition path found in current source index. ARG-02.1 commander zone-choice conformance is active work outside this audit base.,
Akiri,2,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,LAND,,0,W,Basic Land — Plains,Scryfall oracle_id bc71ebf6-2056-41f7-be35-b2e5c34afa99; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\leb\cards\LimitedEditionBetaBasicLands.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,3,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,LAND,,0,W,Basic Land — Plains,Scryfall oracle_id bc71ebf6-2056-41f7-be35-b2e5c34afa99; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\leb\cards\LimitedEditionBetaBasicLands.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,4,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,LAND,,0,W,Basic Land — Plains,Scryfall oracle_id bc71ebf6-2056-41f7-be35-b2e5c34afa99; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\leb\cards\LimitedEditionBetaBasicLands.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,5,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,LAND,,0,W,Basic Land — Plains,Scryfall oracle_id bc71ebf6-2056-41f7-be35-b2e5c34afa99; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\leb\cards\LimitedEditionBetaBasicLands.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,6,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,LAND,,0,W,Basic Land — Plains,Scryfall oracle_id bc71ebf6-2056-41f7-be35-b2e5c34afa99; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\leb\cards\LimitedEditionBetaBasicLands.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,7,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,LAND,,0,W,Basic Land — Plains,Scryfall oracle_id bc71ebf6-2056-41f7-be35-b2e5c34afa99; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\leb\cards\LimitedEditionBetaBasicLands.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,8,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,LAND,,0,W,Basic Land — Plains,Scryfall oracle_id bc71ebf6-2056-41f7-be35-b2e5c34afa99; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\leb\cards\LimitedEditionBetaBasicLands.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,9,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,LAND,,0,W,Basic Land — Plains,Scryfall oracle_id bc71ebf6-2056-41f7-be35-b2e5c34afa99; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\leb\cards\LimitedEditionBetaBasicLands.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
Akiri,10,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,LAND,,0,W,Basic Land — Plains,Scryfall oracle_id bc71ebf6-2056-41f7-be35-b2e5c34afa99; repository audit 31853cfe91b52718dc3fb67f159e6267d9c5fcc1,TRUE,mtg-sets\1993-1999\src\main\kotlin\com\wingedsheep\mtg\sets\definitions\leb\cards\LimitedEditionBetaBasicLands.kt,HAND_AUTHORED,FALSE,,SUPPORTED_DEFINITION_TEST_UNCLEAR,mana_source,MANA_SOURCE_SELECTION,FALSE,FALSE,FALSE,FALSE,FALSE,Audit source 31853cfe91b52718dc3fb67f159e6267d9c5fcc1; upstream d66a5d7f1b46b0ed8891c34ccfe163d491c4ff3d. Hand-authored definition; no exact ScenarioTest found.,
