deck_variant,deck,slot_number,card_name,oracle_id,mana_value,color_identity,commander_identity,card_type,layout,scryfall_commander_legality,scryfall_duel_legality,game_changer,official_banned_check,color_identity_match,nonbasic_singleton_check,notes
Akiri Ideal,Akiri,1,"Akiri, Fearless Voyager",c03ae426-2536-4c20-a73a-a24e816f76b0,3,RW,RW,Legendary Creature — Kor Warrior,normal,legal,legal,FALSE,FALSE,TRUE,TRUE,
Akiri Ideal,Akiri,2,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,0,W,RW,Basic Land — Plains,normal,legal,legal,FALSE,FALSE,TRUE,TRUE,basic-land repeat allowed
Akiri Ideal,Akiri,3,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,0,W,RW,Basic Land — Plains,normal,legal,legal,FALSE,FALSE,TRUE,TRUE,basic-land repeat allowed
Akiri Ideal,Akiri,4,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,0,W,RW,Basic Land — Plains,normal,legal,legal,FALSE,FALSE,TRUE,TRUE,basic-land repeat allowed
Akiri Ideal,Akiri,5,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,0,W,RW,Basic Land — Plains,normal,legal,legal,FALSE,FALSE,TRUE,TRUE,basic-land repeat allowed
Akiri Ideal,Akiri,6,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,0,W,RW,Basic Land — Plains,normal,legal,legal,FALSE,FALSE,TRUE,TRUE,basic-land repeat allowed
Akiri Ideal,Akiri,7,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,0,W,RW,Basic Land — Plains,normal,legal,legal,FALSE,FALSE,TRUE,TRUE,basic-land repeat allowed
Akiri Ideal,Akiri,8,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,0,W,RW,Basic Land — Plains,normal,legal,legal,FALSE,FALSE,TRUE,TRUE,basic-land repeat allowed
Akiri Ideal,Akiri,9,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,0,W,RW,Basic Land — Plains,normal,legal,legal,FALSE,FALSE,TRUE,TRUE,basic-land repeat allowed
Akiri Ideal,Akiri,10,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,0,W,RW,Basic Land — Plains,normal,legal,legal,FALSE,FALSE,TRUE,TRUE,basic-land repeat allowed
Akiri Ideal,Akiri,11,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,0,W,RW,Basic Land — Plains,normal,legal,legal,FALSE,FALSE,TRUE,TRUE,basic-land repeat allowed
Akiri Ideal,Akiri,12,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,0,W,RW,Basic Land — Plains,normal,legal,legal,FALSE,FALSE,TRUE,TRUE,basic-land repeat allowed
Akiri Ideal,Akiri,13,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,0,W,RW,Basic Land — Plains,normal,legal,legal,FALSE,FALSE,TRUE,TRUE,basic-land repeat allowed
Akiri Ideal,Akiri,14,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,0,W,RW,Basic Land — Plains,normal,legal,legal,FALSE,FALSE,TRUE,TRUE,basic-land repeat allowed
Akiri Ideal,Akiri,15,Plains,bc71ebf6-2056-41f7-be35-b2e5c34afa99,0,W,RW,Basic Land — Plains,normal,legal,legal,FALSE,FALSE,TRUE,TRUE,basic-land repeat allowed
Akiri Ideal,Akiri,16,Mountain,a3fb7228-e76b-4e96-a40e-20b5fed75685,0,R,RW,Basic Land — Mountain,normal,legal,legal,FALSE,FALSE,TRUE,TRUE,basic-land repeat allowed
Akiri Ideal,Akiri,17,Mountain,a3fb7228-e76b-4e96-a40e-20b5fed75685,0,R,RW,Basic Land — Mountain,normal,legal,legal,FALSE,FALSE,TRUE,TRUE,basic-land repeat allowed
